ID,Movie Name,Rating,runtime_minutes,Runtime,Genre,Metascore,Plot,Directors,Stars,Votes,Gross,Link,Votes Percent Rank,Rating Percent Rank,Significance Score
6161,Alice in Wonderland,6.4,108,108 min,"Adventure, Family, Fantasy",53,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.","['Tim Burton', 'Mia Wasikowska', 'Johnny Depp', 'Helena Bonham Carter', 'Anne Hathaway']","['Mia Wasikowska', 'Johnny Depp', 'Helena Bonham Carter', 'Anne Hathaway']",426154,334191110,https://www.imdb.com/title/tt1014759/,0.961,0.344,1.305
5351,This Is the End,6.6,107,107 min,"Comedy, Fantasy",67,"Six Los Angeles celebrities are stuck in James Franco's house after a series of devastating events just destroyed the city. Inside, the group not only have to face the apocalypse, but themselves.","['Evan Goldberg', 'Seth Rogen', 'James Franco', 'Jonah Hill', 'Seth Rogen', 'Jay Baruchel']","['Seth Rogen', 'James Franco', 'Jonah Hill', 'Seth Rogen', 'Jay Baruchel']",423016,101470202,https://www.imdb.com/title/tt1245492/,0.96,0.426,1.386
6955,Transformers: Dark of the Moon,6.2,154,154 min,"Action, Adventure, Sci-Fi",42,"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.","['Michael Bay', 'Shia LaBeouf', 'Rosie Huntington-Whiteley', 'Tyrese Gibson', 'Josh Duhamel']","['Shia LaBeouf', 'Rosie Huntington-Whiteley', 'Tyrese Gibson', 'Josh Duhamel']",419596,352390543,https://www.imdb.com/title/tt1399103/,0.96,0.265,1.225
7979,Transformers: Revenge of the Fallen,5.9,149,149 min,"Action, Adventure, Sci-Fi",35,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.","['Michael Bay', 'Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Tyrese Gibson']","['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Tyrese Gibson']",416308,402111870,https://www.imdb.com/title/tt1055369/,0.959,0.176,1.135
6595,Terminator 3: Rise of the Machines,6.3,109,109 min,"Action, Sci-Fi",66,A machine from a post-apocalyptic future travels back in time to protect a man and a woman from an advanced robotic assassin to ensure they both survive a nuclear attack.,"['Jonathan Mostow', 'Arnold Schwarzenegger', 'Nick Stahl', 'Kristanna Loken', 'Claire Danes']","['Arnold Schwarzenegger', 'Nick Stahl', 'Kristanna Loken', 'Claire Danes']",408293,150371112,https://www.imdb.com/title/tt0181852/,0.958,0.305,1.263
4887,Black Widow,6.7,134,134 min,"Action, Adventure, Sci-Fi",68,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,"['Cate Shortland', 'Scarlett Johansson', 'Florence Pugh', 'David Harbour', 'Rachel Weisz']","['Scarlett Johansson', 'Florence Pugh', 'David Harbour', 'Rachel Weisz']",398549,183651655,https://www.imdb.com/title/tt3480822/,0.956,0.469,1.425
4938,Wanted,6.7,110,110 min,"Action, Crime, Thriller",64,"A frustrated office worker discovers that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities.","['Timur Bekmambetov', 'Angelina Jolie', 'James McAvoy', 'Morgan Freeman', 'Terence Stamp']","['Angelina Jolie', 'James McAvoy', 'Morgan Freeman', 'Terence Stamp']",398452,134508551,https://www.imdb.com/title/tt0493464/,0.956,0.469,1.425
5844,Ocean's Twelve,6.5,125,125 min,"Crime, Thriller",58,Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's Eleven (2001).,"['Steven Soderbergh', 'George Clooney', 'Brad Pitt', 'Julia Roberts', 'Catherine Zeta-Jones']","['George Clooney', 'Brad Pitt', 'Julia Roberts', 'Catherine Zeta-Jones']",401159,125544280,https://www.imdb.com/title/tt0349903/,0.956,0.385,1.341
6985,Men in Black II,6.2,88,88 min,"Action, Adventure, Comedy",49,Agent Jay is sent to find Agent Kay and restore his memory after the re-appearance of a case from Kay's past.,"['Barry Sonnenfeld', 'Tommy Lee Jones', 'Will Smith', 'Rip Torn', 'Lara Flynn Boyle']","['Tommy Lee Jones', 'Will Smith', 'Rip Torn', 'Lara Flynn Boyle']",387676,190418803,https://www.imdb.com/title/tt0120912/,0.955,0.265,1.22
5834,Friends with Benefits,6.5,109,109 min,"Comedy, Romance",63,"A young man and woman decide to take their friendship to the next level without becoming a couple, but soon discover that adding sex only leads to complications.","['Will Gluck', 'Mila Kunis', 'Justin Timberlake', 'Patricia Clarkson', 'Jenna Elfman']","['Mila Kunis', 'Justin Timberlake', 'Patricia Clarkson', 'Jenna Elfman']",380478,55802754,https://www.imdb.com/title/tt1632708/,0.954,0.385,1.339
